task,location,canonical_file_count,has_window_date_mentions,window_dates,source_paths
planning/active/visible-worker-lifecycle-bridge-20260809,active,3,True,2026-08-09,planning/active/visible-worker-lifecycle-bridge-20260809/findings.md | planning/active/visible-worker-lifecycle-bridge-20260809/progress.md | planning/active/visible-worker-lifecycle-bridge-20260809/task_plan.md
planning/active/weekly-project-retrospective-automation,active,3,True,2026-07-10 | 2026-07-12 | 2026-07-13 | 2026-07-17 | 2026-07-20 | 2026-07-24 | 2026-07-25 | 2026-07-27 | 2026-08-03 | 2026-08-10 | 2026-08-14 | 2026-08-17 | 2026-08-21 | 2026-08-24 | 2026-08-31,planning/active/weekly-project-retrospective-automation/findings.md | planning/active/weekly-project-retrospective-automation/progress.md | planning/active/weekly-project-retrospective-automation/task_plan.md
planning/archive/20260412-200811-harness-complex-orchestration,archive,3,False,,planning/archive/20260412-200811-harness-complex-orchestration/findings.md | planning/archive/20260412-200811-harness-complex-orchestration/progress.md | planning/archive/20260412-200811-harness-complex-orchestration/task_plan.md
planning/archive/20260412-200811-harness-flow-structure,archive,3,False,,planning/archive/20260412-200811-harness-flow-structure/findings.md | planning/archive/20260412-200811-harness-flow-structure/progress.md | planning/archive/20260412-200811-harness-flow-structure/task_plan.md
planning/archive/20260412-200811-harness-upstream-smooth-update,archive,3,False,,planning/archive/20260412-200811-harness-upstream-smooth-update/findings.md | planning/archive/20260412-200811-harness-upstream-smooth-update/progress.md | planning/archive/20260412-200811-harness-upstream-smooth-update/task_plan.md
planning/archive/20260412-200811-planning-with-files-git-source,archive,3,False,,planning/archive/20260412-200811-planning-with-files-git-source/findings.md | planning/archive/20260412-200811-planning-with-files-git-source/progress.md | planning/archive/20260412-200811-planning-with-files-git-source/task_plan.md
planning/archive/20260412-200811-readme-refresh,archive,3,False,,planning/archive/20260412-200811-readme-refresh/findings.md | planning/archive/20260412-200811-readme-refresh/progress.md | planning/archive/20260412-200811-readme-refresh/task_plan.md
planning/archive/20260413-132733-github-release-1-0-0,archive,3,False,,planning/archive/20260413-132733-github-release-1-0-0/findings.md | planning/archive/20260413-132733-github-release-1-0-0/progress.md | planning/archive/20260413-132733-github-release-1-0-0/task_plan.md
planning/archive/20260413-132733-worktree-base-preflight,archive,3,False,,planning/archive/20260413-132733-worktree-base-preflight/findings.md | planning/archive/20260413-132733-worktree-base-preflight/progress.md | planning/archive/20260413-132733-worktree-base-preflight/task_plan.md
planning/archive/20260425-210011-github-release-1-0-1,archive,3,False,,planning/archive/20260425-210011-github-release-1-0-1/findings.md | planning/archive/20260425-210011-github-release-1-0-1/progress.md | planning/archive/20260425-210011-github-release-1-0-1/task_plan.md
